genre,label_x,label_y,total
Drama,427.6570317082097,82.72671067190714,12040
Comedy,551.8753396130362,292.07451611460516,10243
Thriller,468.5908344503311,487.2995743170311,8895
Action,283.7703346621194,551.4768338496021,8610
Romance,134.94673265354479,490.4243128864053,5549
Crime,62.92070348004819,385.42486266658415,5462
Adventure,51.24997850710142,259.658621648703,5454
Horror,94.82638215348351,153.68600019214975,4376
Science Fiction,168.98164942216076,84.73692417912815,4227
Family,254.8530735240168,52.07711878535261,3516
