imdb_id,title,year,imdb_rating,num_raters,num_reviews,runtime_min,mpaa,genres,genres_list,primary_genre,num_genres,release_date_parsed
tt0468569,The Dark Knight,2008,9.0,2224522,6836,152,PG-13,Action; Crime; Drama; ,"['Action', 'Crime', 'Drama']",Action,3,2008-07-18
tt1375666,Inception,2010,8.8,1981675,3820,148,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2010-07-16
tt0133093,The Matrix,1999,8.7,1619761,4281,136,R,Action; Sci-Fi; ,"['Action', 'Sci-Fi']",Action,2,1999-03-31
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,1609165,5365,178,PG-13,Action; Adventure; Drama; ,"['Action', 'Adventure', 'Drama']",Action,3,2001-12-19
tt1345836,The Dark Knight Rises,2012,8.4,1470329,2979,164,PG-13,Action; Adventure; ,"['Action', 'Adventure']",Action,2,2012-07-20
tt0172495,Gladiator,2000,8.5,1297718,2636,155,R,Action; Adventure; Drama; ,"['Action', 'Adventure', 'Drama']",Action,3,2000-05-05
tt0372784,Batman Begins,2005,8.2,1269027,2885,140,PG-13,Action; Adventure; ,"['Action', 'Adventure']",Action,2,2005-06-15
tt0848228,The Avengers,2012,8.0,1236048,1929,143,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2012-05-04
tt0076759,Star Wars: Episode IV - A New Hope,1977,8.6,1197132,1834,121,PG,Action; Adventure; Fantasy; ,"['Action', 'Adventure', 'Fantasy']",Action,3,1977-05-25
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1124834,1214,124,PG,Action; Adventure; Fantasy; ,"['Action', 'Adventure', 'Fantasy']",Action,3,1980-06-20
tt0499549,Avatar,2009,7.8,1096125,3415,162,PG-13,Action; Adventure; Fantasy; ,"['Action', 'Adventure', 'Fantasy']",Action,3,2009-12-18
tt2015381,Guardians of the Galaxy,2014,8.0,1017405,1390,121,PG-13,Action; Adventure; Comedy; ,"['Action', 'Adventure', 'Comedy']",Action,3,2014-08-01
tt0434409,V for Vendetta,2005,8.2,1002944,2205,132,R,Action; Drama; Sci-Fi; ,"['Action', 'Drama', 'Sci-Fi']",Action,3,2006-03-17
tt0110413,Léon: The Professional,1994,8.5,999596,1193,110,R,Action; Crime; Drama; ,"['Action', 'Crime', 'Drama']",Action,3,1994-11-18
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,997264,2186,143,PG-13,Action; Adventure; Fantasy; ,"['Action', 'Adventure', 'Fantasy']",Action,3,2003-07-09
tt0266697,Kill Bill: Vol. 1,2003,8.1,970439,2272,111,R,Action; Crime; Thriller; ,"['Action', 'Crime', 'Thriller']",Action,3,2003-10-10
tt0103064,Terminator 2: Judgment Day,1991,8.5,968504,1269,137,R,Action; Sci-Fi; ,"['Action', 'Sci-Fi']",Action,2,1991-07-03
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,8.3,922278,828,131,PG,Action; Adventure; Fantasy; ,"['Action', 'Adventure', 'Fantasy']",Action,3,1983-05-25
tt0371746,Iron Man,2008,7.9,915640,1319,126,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2008-05-02
tt1431045,Deadpool,2016,8.0,876091,1440,108,R,Action; Adventure; Comedy; ,"['Action', 'Adventure', 'Comedy']",Action,3,2016-02-12
tt0082971,Raiders of the Lost Ark,1981,8.4,859523,931,115,PG,Action; Adventure; ,"['Action', 'Adventure']",Action,2,1981-06-12
tt1392190,Mad Max: Fury Road,2015,8.1,848011,1990,120,R,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2015-05-15
tt2488496,Star Wars: Episode VII - The Force Awakens,2015,7.9,841234,4794,138,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2015-12-18
tt0107290,Jurassic Park,1993,8.1,836793,1133,127,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,1993-06-11
tt1392170,The Hunger Games,2012,7.2,826505,2037,142,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2012-03-23
tt4154756,Avengers: Infinity War,2018,8.4,784777,4248,149,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2018-04-27
tt0088247,The Terminator,1984,8.0,779029,885,107,R,Action; Sci-Fi; ,"['Action', 'Sci-Fi']",Action,2,1984-10-26
tt0095016,Die Hard,1988,8.2,763300,912,132,R,Action; Thriller; ,"['Action', 'Thriller']",Action,2,1988-07-20
tt4154796,Avengers: Endgame,2019,8.4,736177,8805,181,PG-13,Action; Adventure; Drama; ,"['Action', 'Adventure', 'Drama']",Action,3,2019-04-26
tt1300854,Iron Man 3,2013,7.2,735568,1314,130,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2013-05-03
tt0800369,Thor,2011,7.0,726753,915,115,PG-13,Action; Adventure; Fantasy; ,"['Action', 'Adventure', 'Fantasy']",Action,3,2011-05-06
tt0416449,300,2006,7.6,719421,2176,117,R,Action; Drama; ,"['Action', 'Drama']",Action,2,2007-03-09
tt0458339,Captain America: The First Avenger,2011,6.9,718921,882,124,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2011-07-22
tt2395427,Avengers: Age of Ultron,2015,7.3,717521,1303,141,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2015-05-01
tt1843866,Captain America: The Winter Soldier,2014,7.7,714445,937,136,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2014-04-04
tt0120915,Star Wars: Episode I - The Phantom Menace,1999,6.5,708990,3843,136,PG,Action; Adventure; Fantasy; ,"['Action', 'Adventure', 'Fantasy']",Action,3,1999-05-19
tt1228705,Iron Man 2,2010,7.0,701922,881,124,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2010-05-07
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005,7.5,690205,3553,140,PG-13,Action; Adventure; Fantasy; ,"['Action', 'Adventure', 'Fantasy']",Action,3,2005-05-19
tt1663202,The Revenant,2015,8.0,678829,1594,156,R,Action; Adventure; Drama; ,"['Action', 'Adventure', 'Drama']",Action,3,2016-01-08
tt0770828,Man of Steel,2013,7.0,675229,2747,143,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2013-06-14
tt0083658,Blade Runner,1982,8.1,673121,1541,117,R,Action; Sci-Fi; Thriller; ,"['Action', 'Sci-Fi', 'Thriller']",Action,3,1982-06-25
tt0097576,Indiana Jones and the Last Crusade,1989,8.2,672206,567,127,PG-13,Action; Adventure; ,"['Action', 'Adventure']",Action,2,1989-05-24
tt0145487,Spider-Man,2002,7.3,671751,2124,121,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2002-05-03
tt0480249,I Am Legend,2007,7.2,670748,1543,101,PG-13,Action; Adventure; Drama; ,"['Action', 'Adventure', 'Drama']",Action,3,2007-12-14
tt0378194,Kill Bill: Vol. 2,2004,8.0,663568,1022,137,R,Action; Crime; Thriller; ,"['Action', 'Crime', 'Thriller']",Action,3,2004-04-16
tt1877832,X-Men: Days of Future Past,2014,8.0,647269,821,132,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2014-05-23
tt0892769,How to Train Your Dragon,2010,8.1,647266,626,98,PG,Animation; Action; Adventure; ,"['Animation', 'Action', 'Adventure']",Animation,3,2010-03-26
tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006,7.3,641045,1889,151,PG-13,Action; Adventure; Fantasy; ,"['Action', 'Adventure', 'Fantasy']",Action,3,2006-07-07
tt0317705,The Incredibles,2004,8.0,638952,946,115,PG,Animation; Action; Adventure; ,"['Animation', 'Action', 'Adventure']",Animation,3,2004-11-05
tt3498820,Captain America: Civil War,2016,7.8,638731,1410,147,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2016-05-06
tt0090605,Aliens,1986,8.3,635164,1280,137,R,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,1986-07-18
