decade,language_code,rank,count,thickness,rank_y,language,band_top,band_bottom
1970,en,1,788,2.80713376952364,10,English,11.403566884761819,8.596433115238181
1970,it,2,182,1.3490737563232043,9,Italian,9.674536878161602,8.325463121838398
1970,fr,3,160,1.2649110640673518,8,French,8.632455532033676,7.367544467966324
1970,ja,4,39,0.6244997998398398,7,Japanese,7.3122498999199195,6.6877501000800805
1970,de,5,30,0.5477225575051661,6,German,6.273861278752583,5.726138721247417
1970,ru,6,29,0.5385164807134504,5,Russian,5.269258240356725,4.730741759643275
1970,es,7,28,0.5291502622129182,4,Spanish,4.264575131106459,3.7354248688935408
1970,zh,8,27,0.5196152422706632,3,Chinese,3.2598076211353315,2.7401923788646685
1970,hi,9,6,0.3,2,Hindi,2.15,1.85
1970,ko,10,0,0.3,1,Korean,1.15,0.85
1980,en,1,1407,3.75099986670221,10,English,11.875499933351104,8.124500066648896
1980,it,2,164,1.2806248474865698,9,Italian,9.640312423743286,8.359687576256714
1980,fr,3,150,1.224744871391589,8,French,8.612372435695795,7.387627564304205
1980,ja,4,62,0.7874007874011811,7,Japanese,7.39370039370059,6.60629960629941
1980,zh,5,50,0.7071067811865476,6,Chinese,6.353553390593274,5.646446609406726
1980,es,6,38,0.6164414002968976,5,Spanish,5.308220700148449,4.691779299851551
1980,ru,7,26,0.5099019513592784,4,Russian,4.254950975679639,3.7450490243203607
1980,de,8,24,0.4898979485566356,3,German,3.244948974278318,2.755051025721682
1980,hi,9,4,0.3,2,Hindi,2.15,1.85
1980,ko,10,0,0.3,1,Korean,1.15,0.85
1990,en,1,2157,4.644351407893248,10,English,12.322175703946623,7.677824296053376
1990,fr,2,145,1.2041594578792296,9,French,9.602079728939614,8.397920271060386
1990,it,3,118,1.0862780491200215,8,Italian,8.543139024560011,7.456860975439989
1990,ja,4,118,1.0862780491200215,7,Japanese,7.543139024560011,6.456860975439989
1990,zh,5,116,1.0770329614269007,6,Chinese,6.538516480713451,5.461483519286549
1990,es,6,50,0.7071067811865476,5,Spanish,5.353553390593274,4.646446609406726
1990,de,7,40,0.6324555320336759,4,German,4.316227766016838,3.683772233983162
1990,hi,8,23,0.4795831523312719,3,Hindi,3.239791576165636,2.760208423834364
1990,ru,9,15,0.3872983346207417,2,Russian,2.1936491673103706,1.8063508326896291
1990,ko,10,10,0.31622776601683794,1,Korean,1.158113883008419,0.841886116991581
2000,en,1,3771,6.140846847137616,10,English,13.070423423568808,6.929576576431192
2000,fr,2,394,1.9849433241279208,9,French,9.992471662063961,8.007528337936039
2000,ja,3,258,1.606237840420901,8,Japanese,8.803118920210451,7.1968810797895495
2000,it,4,185,1.3601470508735445,7,Italian,7.6800735254367725,6.3199264745632275
2000,es,5,142,1.1916375287812984,6,Spanish,6.595818764390649,5.404181235609351
2000,zh,6,113,1.063014581273465,5,Chinese,5.531507290636733,4.468492709363267
2000,de,7,112,1.0583005244258363,4,German,4.5291502622129185,3.470849737787082
2000,ko,8,108,1.0392304845413265,3,Korean,3.519615242270663,2.480384757729337
2000,hi,9,103,1.014889156509222,2,Hindi,2.507444578254611,1.4925554217453891
2000,ru,10,45,0.6708203932499369,1,Russian,1.3354101966249685,0.6645898033750315
2010,en,1,6449,8.030566605165541,10,English,14.01528330258277,5.9847166974172294
2010,fr,2,968,3.111269837220809,9,French,10.555634918610405,7.444365081389595
2010,es,3,479,2.188606862823929,8,Spanish,9.094303431411964,6.905696568588036
2010,it,4,444,2.1071307505705477,7,Italian,8.053565375285274,5.946434624714726
2010,ja,5,375,1.9364916731037085,6,Japanese,6.968245836551854,5.031754163448146
2010,hi,6,235,1.532970971675589,5,Hindi,5.766485485837794,4.233514514162206
2010,ko,7,226,1.503329637837291,4,Korean,4.751664818918646,3.2483351810813543
2010,zh,8,217,1.4730919862656235,3,Chinese,3.736545993132812,2.263454006867188
2010,de,9,217,1.4730919862656235,2,German,2.736545993132812,1.2634540068671882
2010,ru,10,114,1.0677078252031311,1,Russian,1.5338539126015656,0.46614608739843444
2020,en,1,1831,4.279018579066934,10,English,12.139509289533468,7.860490710466533
2020,fr,2,288,1.6970562748477138,9,French,9.848528137423857,8.151471862576143
2020,es,3,208,1.4422205101855956,8,Spanish,8.721110255092798,7.278889744907202
2020,it,4,154,1.2409673645990857,7,Italian,7.620483682299543,6.379516317700457
2020,ja,5,97,0.9848857801796104,6,Japanese,6.492442890089805,5.507557109910195
2020,ko,6,61,0.7810249675906654,5,Korean,5.390512483795333,4.609487516204667
2020,zh,7,51,0.7141428428542851,4,Chinese,4.357071421427142,3.6429285785728576
2020,de,8,46,0.6782329983125268,3,German,3.3391164991562636,2.6608835008437364
2020,hi,9,28,0.5291502622129182,2,Hindi,2.2645751311064592,1.735424868893541
2020,ru,10,26,0.5099019513592784,1,Russian,1.2549509756796393,0.7450490243203608
