imdb_id,title_ieee,year_ieee,imdb_rating,num_raters,num_reviews,runtime_min,mpaa,genres_ieee,genres_list,primary_genre,num_genres,release_date_parsed,id,title_tmdb,vote_average,vote_count,status,release_date,revenue,runtime,budget,original_language,popularity,genres_tmdb,production_companies,production_countries,year_tmdb,countries_list,primary_country,num_countries,tmdb_genres_list,tmdb_primary_genre,primary_company
tt0468569,The Dark Knight,2008,9.0,2224522,6836,152,PG-13,Action; Crime; Drama; ,"['Action', 'Crime', 'Drama']",Action,3,2008-07-18,155,The Dark Knight,8.512,30619,Released,2008-07-16,1004558444,152,185000000,en,130.643,"Drama, Action, Crime, Thriller","DC Comics, Legendary Pictures, Syncopy, Isobel Griffiths, Warner Bros. Pictures","United Kingdom, United States of America",2008.0,"['United Kingdom', 'United States of America']",United Kingdom,2,"['Drama', 'Action', 'Crime', 'Thriller']",Drama,DC Comics
tt1375666,Inception,2010,8.8,1981675,3820,148,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2010-07-16,27205,Inception,8.364,34495,Released,2010-07-15,825532764,148,160000000,en,83.952,"Action, Science Fiction, Adventure","Legendary Pictures, Syncopy, Warner Bros. Pictures","United Kingdom, United States of America",2010.0,"['United Kingdom', 'United States of America']",United Kingdom,2,"['Action', 'Science Fiction', 'Adventure']",Action,Legendary Pictures
tt0133093,The Matrix,1999,8.7,1619761,4281,136,R,Action; Sci-Fi; ,"['Action', 'Sci-Fi']",Action,2,1999-03-31,603,The Matrix,8.206,23815,Released,1999-03-30,463517383,136,63000000,en,78.564,"Action, Science Fiction","Village Roadshow Pictures, Groucho II Film Partnership, Silver Pictures, Warner Bros. Pictures",United States of America,1999.0,['United States of America'],United States of America,1,"['Action', 'Science Fiction']",Action,Village Roadshow Pictures
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,1609165,5365,178,PG-13,Action; Adventure; Drama; ,"['Action', 'Adventure', 'Drama']",Action,3,2001-12-19,120,The Lord of the Rings: The Fellowship of the Ring,8.402,23323,Released,2001-12-18,871368364,179,93000000,en,87.037,"Adventure, Fantasy, Action","New Line Cinema, WingNut Films, The Saul Zaentz Company","New Zealand, United States of America",2001.0,"['New Zealand', 'United States of America']",New Zealand,2,"['Adventure', 'Fantasy', 'Action']",Adventure,New Line Cinema
tt1345836,The Dark Knight Rises,2012,8.4,1470329,2979,164,PG-13,Action; Adventure; ,"['Action', 'Adventure']",Action,2,2012-07-20,49026,The Dark Knight Rises,7.777,21335,Released,2012-07-17,1081041287,165,250000000,en,76.914,"Action, Crime, Drama, Thriller","Syncopy, Legendary Pictures, DC Entertainment, Warner Bros. Pictures",United States of America,2012.0,['United States of America'],United States of America,1,"['Action', 'Crime', 'Drama', 'Thriller']",Action,Syncopy
tt0172495,Gladiator,2000,8.5,1297718,2636,155,R,Action; Adventure; Drama; ,"['Action', 'Adventure', 'Drama']",Action,3,2000-05-05,98,Gladiator,8.209,16962,Released,2000-05-04,465361176,155,103000000,en,53.587,"Action, Drama, Adventure","Universal Pictures, Scott Free Productions, Red Wagon Entertainment, Mill Film, C & L, Dawliz, DreamWorks Pictures","United Kingdom, United States of America",2000.0,"['United Kingdom', 'United States of America']",United Kingdom,2,"['Action', 'Drama', 'Adventure']",Action,Universal Pictures
tt0372784,Batman Begins,2005,8.2,1269027,2885,140,PG-13,Action; Adventure; ,"['Action', 'Adventure']",Action,2,2005-06-15,272,Batman Begins,7.701,19561,Released,2005-06-10,374218673,140,150000000,en,66.286,"Action, Crime, Drama","Warner Bros. Pictures, DC Comics, Syncopy, Legendary Pictures, Patalex III Productions Limited","United Kingdom, United States of America",2005.0,"['United Kingdom', 'United States of America']",United Kingdom,2,"['Action', 'Crime', 'Drama']",Action,Warner Bros. Pictures
tt0848228,The Avengers,2012,8.0,1236048,1929,143,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2012-05-04,24428,The Avengers,7.71,29166,Released,2012-04-25,1518815515,143,220000000,en,98.082,"Science Fiction, Action, Adventure",Marvel Studios,United States of America,2012.0,['United States of America'],United States of America,1,"['Science Fiction', 'Action', 'Adventure']",Science Fiction,Marvel Studios
tt0076759,Star Wars: Episode IV - A New Hope,1977,8.6,1197132,1834,121,PG,Action; Adventure; Fantasy; ,"['Action', 'Adventure', 'Fantasy']",Action,3,1977-05-25,11,Star Wars,8.204,19155,Released,1977-05-25,775398007,121,11000000,en,88.559,"Adventure, Action, Science Fiction","Lucasfilm Ltd., 20th Century Fox",United States of America,1977.0,['United States of America'],United States of America,1,"['Adventure', 'Action', 'Science Fiction']",Adventure,Lucasfilm Ltd.
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1124834,1214,124,PG,Action; Adventure; Fantasy; ,"['Action', 'Adventure', 'Fantasy']",Action,3,1980-06-20,1891,The Empire Strikes Back,8.4,15773,Released,1980-05-20,538400000,124,18000000,en,35.265,"Adventure, Action, Science Fiction",Lucasfilm Ltd.,United States of America,1980.0,['United States of America'],United States of America,1,"['Adventure', 'Action', 'Science Fiction']",Adventure,Lucasfilm Ltd.
